Interarrival Time, Arrival Rate, Avg. Time in System,Avg. Time in Queue,Theoretical Time in Queue
11.00,0.0909,370.653217,340.375558,300.000000
12.00,0.0833,205.514038,175.513220,150.000000
13.00,0.0769,121.540266,91.586129,100.000000
14.00,0.0714,105.225880,75.384651,75.000000
15.00,0.0667,91.189146,61.057253,60.000000
16.00,0.0625,82.258853,52.164040,50.000000
17.00,0.0588,69.263817,39.472860,42.857143
18.00,0.0556,69.397396,38.851505,37.500000
19.00,0.0526,64.496313,34.307925,33.333333
20.00,0.0500,60.875203,31.232082,30.000000
21.00,0.0476,57.067852,27.453512,27.272727
22.00,0.0455,54.835653,24.757075,25.000000
23.00,0.0435,54.369853,24.340789,23.076923
24.00,0.0417,51.761863,21.634213,21.428571
25.00,0.0400,48.771624,19.171447,20.000000
26.00,0.0385,48.866001,18.739671,18.750000
27.00,0.0370,45.976466,16.160562,17.647059
28.00,0.0357,48.053076,17.906783,16.666667
29.00,0.0345,45.547833,16.007194,15.789474
30.00,0.0333,45.935891,15.445363,15.000000
31.00,0.0323,45.296712,15.090833,14.285714
32.00,0.0313,44.248787,14.224907,13.636364
33.00,0.0303,42.042565,12.291589,13.043478
34.00,0.0294,41.482624,11.887382,12.500000
35.00,0.0286,42.760067,12.365903,12.000000
36.00,0.0278,41.737088,11.722730,11.538462
37.00,0.0270,41.296733,11.091597,11.111111
38.00,0.0263,42.637303,12.119026,10.714286
39.00,0.0256,40.131888,10.406443,10.344828
40.00,0.0250,40.480255,10.170502,10.000000
41.00,0.0244,40.565704,9.779160,9.677419
42.00,0.0238,38.634649,8.745750,9.375000
43.00,0.0233,39.365126,9.223732,9.090909
44.00,0.0227,39.482691,9.102984,8.823529
45.00,0.0222,38.058046,8.025675,8.571429
46.00,0.0217,37.906110,7.612357,8.333333
47.00,0.0213,39.605510,9.373651,8.108108
48.00,0.0208,36.398559,6.962824,7.894737
49.00,0.0204,38.648550,8.255797,7.692308
50.00,0.0200,38.123122,7.934585,7.500000
